dataset;data_variant;param_learning_rate;param_n_estimators;param_max_depth;param_max_features;mean_train_score;mean_test_score
2;_woe_scaled;0.01;50;3;0.75;0.8392594000236129;0.8246672498621886
2;_woe_scaled;0.01;100;3;0.75;0.847648323758973;0.8303860789817324
2;_woe_scaled;0.01;200;3;0.75;0.8555837328884807;0.8337885810953217
2;_woe_scaled;0.01;500;3;0.75;0.8746557065842133;0.8436996776283839
2;_woe_scaled;0.01;20;3;0.9;0.8315077987713131;0.8180821493599296
2;_woe_scaled;0.01;50;3;0.9;0.8382977299706713;0.8235195539132933
2;_woe_scaled;0.01;100;3;0.9;0.8469560056715231;0.8292814326657124
2;_woe_scaled;0.01;200;3;0.9;0.8558839966293001;0.8334821017035114
2;_woe_scaled;0.01;500;3;0.9;0.8742394845452142;0.8429264213935944
2;_woe_scaled;0.01;20;5;;0.8550935248548579;0.8238215859724931
2;_woe_scaled;0.01;50;5;;0.869412459072902;0.8330907545838416
2;_woe_scaled;0.01;100;5;;0.8806805472637055;0.8382800726540939
2;_woe_scaled;0.01;200;5;;0.8956139607912144;0.8408801321398335
2;_woe_scaled;0.01;500;5;;0.9199952933115072;0.8458120511193647
2;_woe_scaled;0.01;20;5;0.5;0.8728180751896654;0.835373007894486
2;_woe_scaled;0.01;50;5;0.5;0.8818944900145804;0.8365662352822402
2;_woe_scaled;0.01;100;5;0.5;0.8911644710975684;0.8396236206682026
2;_woe_scaled;0.01;200;5;0.5;0.9051893261243944;0.8431858392713489
2;_woe_scaled;0.01;500;5;0.5;0.9287983278013028;0.848517533354501
2;_woe_scaled;0.01;20;5;0.75;0.8701708811423635;0.8351945761834141
2;_woe_scaled;0.01;50;5;0.75;0.8776541805910443;0.8367526244004762
2;_woe_scaled;0.01;100;5;0.75;0.8882773363316754;0.839750014768098
2;_woe_scaled;0.01;200;5;0.75;0.9013003767819563;0.842651082134652
2;_woe_scaled;0.01;500;5;0.75;0.9262357013541256;0.8480996604867616
2;_woe_scaled;0.01;20;5;0.9;0.8654617656874104;0.8321556904991415
2;_woe_scaled;0.01;50;5;0.9;0.8742859529033726;0.8354128416028225
2;_woe_scaled;0.01;100;5;0.9;0.8845756705744652;0.8384453383064013
2;_woe_scaled;0.01;200;5;0.9;0.8991821196896825;0.8421401287782629
2;_woe_scaled;0.01;500;5;0.9;0.9241319246072159;0.8470608571833381
2;_woe_scaled;0.01;20;7;;0.8865985903796696;0.8210339950148342
2;_woe_scaled;0.01;50;7;;0.9044212499782189;0.832196509781736
2;_woe_scaled;0.01;100;7;;0.9225504109294966;0.8379694384704491
2;_woe_scaled;0.01;200;7;;0.9429059120925393;0.8407583807185485
2;_woe_scaled;0.01;500;7;;0.9660925100035123;0.8446503355518417
2;_woe_scaled;0.01;20;7;0.5;0.9189531237830035;0.8366510726553563
2;_woe_scaled;0.01;50;7;0.5;0.9323239388305877;0.8388856474828167
2;_woe_scaled;0.01;100;7;0.5;0.9459634231643617;0.841358751802386
2;_woe_scaled;0.01;200;7;0.5;0.959825353723764;0.8444918927429912
2;_woe_scaled;0.01;500;7;0.5;0.977599387881217;0.8473082439158693
2;_woe_scaled;0.01;20;7;0.75;0.9111548613046024;0.8364415294369181
